Incident Number,Area,Completed Incident Date,Land Type,Waste Type,Incident Size,Overall Environmental Impact
35329880760,Kent South London and East Sussex,5/26/2015,Private - Residential,Black bags - house hold,Transit van load,3
15329877670,Kent South London and East Sussex,5/28/2015,Council Land,"Chemical drums, oil or fuel",Other single item,3
16133499006,Hertfordshire and North London,5/29/2015,Other (Unidentified),Other commercial waste,Significant/multiple loads,4
23134084613,West Midlands,5/29/2015,Watercourse / Bank,Other commercial waste,Tipper lorry load,3
353301179086,Wessex,5/29/2015,Footpath / Bridleway,Tyres,Transit van load,3
353291178986,East Anglia,5/29/2015,Other (Unidentified),Other commercial waste,Tipper lorry load,3
45329879184,Wessex,5/29/2015,Highway,Green,Car boot load or less,3
153251677851,East Midlands,6/4/2015,Other (Unidentified),Other house hold waste,Tipper lorry load,3
153301678351,East Midlands,6/4/2015,Other (Unidentified),Construction/demolition/excavation,Tipper lorry load,3
553251276108,Cumbria and Lancashire,6/5/2015,Highway,Other house hold waste,Significant/multiple loads,3
253241573621,North East,6/9/2015,Private - Residential,Other commercial waste,Tipper lorry load,3
22133664312,Wessex,6/12/2015,Watercourse / Bank,"Chemical drums, oil or fuel",Car boot load or less,4
153181277206,Cumbria and Lancashire,6/16/2015,Commercial / Industrial,"Chemical drums, oil or fuel",Small van load,3
53181381087,Yorkshire,6/16/2015,Agricultural,Construction/demolition/excavation,Transit van load,3
24134111814,Yorkshire,6/17/2015,Council Land,Construction/demolition/excavation,Small van load,4
553041575377,Yorkshire,6/18/2015,Other (Unidentified),Tyres,Significant/multiple loads,3
53130973941,Wessex,6/23/2015,Other (Unidentified),Asbestos,Small van load,4
53171074646,Yorkshire,6/26/2015,Commercial / Industrial,Tyres,Significant/multiple loads,3
24134879014,Yorkshire,6/29/2015,Back Alleyway,Other house hold waste,Significant/multiple loads,3
353081077676,Yorkshire,6/29/2015,Commercial / Industrial,Construction/demolition/excavation,Small van load,3
14134538204,East Midlands,6/30/2015,Commercial / Industrial,Vehicle parts,Tipper lorry load,3
443541476648,Hertfordshire and North London,7/1/2015,Council Land,Construction/demolition/excavation,Transit van load,4
253121277579,Thames,7/3/2015,Private - Residential,"Chemical drums, oil or fuel",Small van load,4
453091375366,Wessex,7/6/2015,Private - Residential,Tyres,Tipper lorry load,3
153041377410,Wessex,7/10/2015,Other (Unidentified),Other commercial waste,Other single item,4
353011172158,Wessex,7/15/2015,Highway,Asbestos,Car boot load or less,3
23135348213,West Midlands,7/15/2015,Watercourse / Bank,Other commercial waste,Small van load,4
25301872851,Wessex,7/15/2015,Other (Unidentified),Construction/demolition/excavation,Car boot load or less,3
553051076179,Wessex,7/22/2015,Highway,Tyres,Transit van load,3
13135817003,East Anglia,7/27/2015,Footpath / Bridleway,Vehicle parts,Transit van load,3
253050972455,East Anglia,7/27/2015,Commercial / Industrial,Other commercial waste,Car boot load or less,3
22133089212,Wessex,7/27/2015,Footpath / Bridleway,Construction/demolition/excavation,Significant/multiple loads,4
35301871213,Yorkshire,7/28/2015,Commercial / Industrial,Black bags - house hold,Tipper lorry load,3
453012071312,"Devon, Cornwall and the Isles of Scilly",7/28/2015,Other (Unidentified),Asbestos,Small van load,3
453020971352,Hertfordshire and North London,7/29/2015,Back Alleyway,Other house hold waste,Significant/multiple loads,3
553021071451,Yorkshire,7/29/2015,Footpath / Bridleway,Construction/demolition/excavation,Significant/multiple loads,3
453021074144,East Anglia,7/29/2015,Watercourse / Bank,Animal Carcass,Small van load,3
253011078123,Wessex,7/29/2015,Highway,Tyres,Transit van load,3
24134091414,Yorkshire,7/30/2015,Commercial / Industrial,"Chemical drums, oil or fuel",Other single item,4
543500969983,Hertfordshire and North London,8/3/2015,Highway,Other house hold waste,Tipper lorry load,4
13135911803,East Anglia,8/3/2015,Watercourse / Bank,Black bags - house hold,Transit van load,3
13133083603,East Anglia,8/5/2015,Private - Residential,Asbestos,Tipper lorry load,3
543531477786,Greater Manchester Merseyside and Cheshire,8/6/2015,Commercial / Industrial,Other house hold waste,Significant/multiple loads,3
343441174390,Wessex,8/10/2015,Commercial / Industrial,Tyres,Tipper lorry load,3
19136534109,North East,8/18/2015,Commercial / Industrial,Green,Other single item,3
44451475539,Lincolnshire and Northamptonshire,8/20/2015,Private - Residential,Construction/demolition/excavation,Tipper lorry load,3
17136580007,Kent South London and East Sussex,9/1/2015,Watercourse / Bank,Vehicle parts,Other single item,4
243261078019,Cumbria and Lancashire,9/1/2015,Commercial / Industrial,Other commercial waste,Significant/multiple loads,2
43290972724,Wessex,9/4/2015,Highway,Tyres,Transit van load,3
24136273014,Yorkshire,9/4/2015,Watercourse / Bank,Green,Other single item,4
54329874169,Wessex,9/7/2015,Other (Unidentified),Construction/demolition/excavation,Transit van load,3
343221074468,West Midlands,9/10/2015,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
244461075837,Hertfordshire and North London,9/16/2015,Agricultural,Construction/demolition/excavation,Tipper lorry load,3
144341074942,Wessex,9/22/2015,Commercial / Industrial,Other house hold waste,Transit van load,3
23136198113,West Midlands,9/28/2015,Private - Residential,Other commercial waste,Significant/multiple loads,3
244391275083,West Midlands,9/30/2015,Private - Residential,"Chemical drums, oil or fuel",Transit van load,4
544371269665,Wessex,10/1/2015,Other (Unidentified),Asbestos,Small van load,3
14137718604,East Midlands,10/1/2015,Watercourse / Bank,Tyres,Small van load,3
344281371556,East Anglia,10/6/2015,Commercial / Industrial,"Chemical drums, oil or fuel",small van load,3
444340972373,Wessex,10/8/2015,Agricultural,Tyres,Tipper lorry load,3
544281073845,Thames,10/8/2015,Highway,Construction/demolition/excavation,Tipper lorry load,3
14137750004,East Midlands,10/12/2015,Watercourse / Bank,"Chemical drums, oil or fuel",Car boot load or less,4
21137996311,Thames,10/13/2015,Footpath / Bridleway,"Chemical drums, oil or fuel",Small van load,3
15138058905,Greater Manchester Merseyside and Cheshire,10/14/2015,Footpath / Bridleway,"Chemical drums, oil or fuel",Other single item,4
244321475012,Lincolnshire and Northamptonshire,10/16/2015,Other (Unidentified),Black bags - house hold,Car boot load or less,3
344271171670,West Midlands,10/19/2015,Agricultural,Black bags - house hold,Car boot load or less,3
16137831206,Hertfordshire and North London,10/21/2015,Watercourse / Bank,Green,Small van load,3
444280968541,Hertfordshire and North London,10/22/2015,Other (Unidentified),Other commercial waste,Tipper lorry load,4
144281069471,Yorkshire,10/23/2015,Watercourse / Bank,"Chemical drums, oil or fuel",Small van load,3
544311069959,Yorkshire,10/23/2015,Commercial / Industrial,White goods,Transit van load,3
354291270031,Wessex,10/26/2015,Footpath / Bridleway,Other commercial waste,Transit van load,3
544281278529,East Midlands,10/27/2015,Private - Residential,Other commercial waste,Car boot load or less,3
544271075230,Thames,10/29/2015,Highway,Construction/demolition/excavation,Significant/multiple loads,3
14137497804,East Midlands,11/2/2015,Other (Unidentified),"Chemical drums, oil or fuel",Tipper lorry load,3
16138043406,Hertfordshire and North London,11/4/2015,Commercial / Industrial,Other commercial waste,Significant/multiple loads,3
25440873300,Hertfordshire and North London,11/5/2015,Watercourse / Bank,Vehicle parts,Other single item,4
5436867146,Hertfordshire and North London,11/11/2015,Commercial / Industrial,Tyres,Transit van load,4
554360973205,Hertfordshire and North London,11/11/2015,Watercourse / Bank,Construction/demolition/excavation,Small van load,4
454341368886,West Midlands,11/12/2015,Watercourse / Bank,Other commercial waste,Transit van load,3
54341173361,North East,11/12/2015,Watercourse / Bank,White goods,Other single item,4
16138736806,Hertfordshire and North London,11/13/2015,Watercourse / Bank,Construction/demolition/excavation,Other single item,3
54350969332,Wessex,11/13/2015,Watercourse / Bank,"Chemical drums, oil or fuel",Small van load,3
16138387906,Hertfordshire and North London,11/18/2015,Highway,Black bags - house hold,Small van load,4
354281874689,Hertfordshire and North London,11/19/2015,Watercourse / Bank,Other commercial waste,Tipper lorry load,4
23138881113,West Midlands,11/20/2015,Watercourse / Bank,Tyres,Transit van load,3
554191469412,Hertfordshire and North London,11/23/2015,Council Land,Green,Significant/multiple loads,3
54200973096,"Devon, Cornwall and the Isles of Scilly",11/23/2015,Other (Unidentified),Asbestos,Car boot load or less,4
454171271152,Yorkshire,11/24/2015,Commercial / Industrial,Construction/demolition/excavation,Transit van load,4
454150972258,Hertfordshire and North London,11/26/2015,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
254141171395,Thames,11/30/2015,Highway,"Chemical drums, oil or fuel",Transit van load,3
254131073384,Thames,11/30/2015,Private - Residential,Green,Significant/multiple loads,3
54180967834,Solent and South Downs,12/2/2015,Footpath / Bridleway,Asbestos,Small van load,3
16139154906,Hertfordshire and North London,12/2/2015,Watercourse / Bank,Vehicle parts,Other single item,3
54101169221,Hertfordshire and North London,12/3/2015,Highway,Other (unidentified),Tipper lorry load,3
54091273002,Wessex,12/3/2015,Watercourse / Bank,Other (unidentified),Other single item,4
254101574498,Hertfordshire and North London,12/3/2015,Watercourse / Bank,Other commercial waste,Transit van load,3
454171168376,East Anglia,12/4/2015,Other (Unidentified),Other commercial waste,Tipper lorry load,3
22138880412,Wessex,12/4/2015,Watercourse / Bank,Construction/demolition/excavation,Single black bag,4
454161374058,Wessex,12/4/2015,Other (Unidentified),Other (unidentified),Transit van load,3
154191477259,West Midlands,12/4/2015,Agricultural,Other commercial waste,Small van load,3
154061567335,Thames,12/7/2015,Footpath / Bridleway,"Chemical drums, oil or fuel",Small van load,3
554061168919,West Midlands,12/7/2015,Private - Residential,"Chemical drums, oil or fuel",Small van load,4
154131071419,Wessex,12/11/2015,Highway,"Chemical drums, oil or fuel",Small van load,4
304430976379,Hertfordshire and North London,12/15/2015,Commercial / Industrial,Other house hold waste,Significant/multiple loads,3
24138589514,Yorkshire,12/16/2015,Other (Unidentified),Other (unidentified),Transit van load,4
20138392010,Solent and South Downs,12/17/2015,Commercial / Industrial,"Chemical drums, oil or fuel",Transit van load,3
544561366301,Lincolnshire and Northamptonshire,12/22/2015,Watercourse / Bank,Other commercial waste,Small van load,3
23139529313,West Midlands,12/22/2015,Highway,Other commercial waste,Tipper lorry load,4
54021172038,Hertfordshire and North London,12/23/2015,Watercourse / Bank,Green,Car boot load or less,3
23138812613,West Midlands,12/29/2015,Council Land,Black bags - commercial,Significant/multiple loads,2
444521170800,Solent and South Downs,12/29/2015,Private - Residential,Other house hold waste,Transit van load,3
144470966725,Solent and South Downs,1/4/2016,Footpath / Bridleway,Tyres,Transit van load,4
444451470198,Cumbria and Lancashire,1/4/2016,Agricultural,Construction/demolition/excavation,Tipper lorry load,3
244461067575,Thames,1/5/2016,Watercourse / Bank,"Chemical drums, oil or fuel",Car boot load or less,3
344521266758,Cumbria and Lancashire,1/7/2016,Watercourse / Bank,"Chemical drums, oil or fuel",Transit van load,3
24451873776,West Midlands,1/8/2016,Council Land,White goods,Significant/multiple loads,3
20140135610,Solent and South Downs,1/12/2016,Watercourse / Bank,"Chemical drums, oil or fuel",Other single item,3
13140007903,East Anglia,1/15/2016,Commercial / Industrial,Other (unidentified),Car boot load or less,4
244451472005,Lincolnshire and Northamptonshire,1/15/2016,Commercial / Industrial,Black bags - house hold,Significant/multiple loads,3
444361669263,East Midlands,1/18/2016,Agricultural,Construction/demolition/excavation,Tipper lorry load,3
23140200313,West Midlands,1/19/2016,Commercial / Industrial,Other commercial waste,Significant/multiple loads,3
16138767706,Hertfordshire and North London,1/21/2016,Commercial / Industrial,"Chemical drums, oil or fuel",Other single item,4
23140252813,West Midlands,1/21/2016,Agricultural,"Chemical drums, oil or fuel",Car boot load or less,3
554331172544,Wessex,1/26/2016,Agricultural,Green,Small van load,3
23140674513,West Midlands,1/28/2016,Watercourse / Bank,Vehicle parts,Other single item,3
244351069079,Cumbria and Lancashire,1/29/2016,Watercourse / Bank,Other commercial waste,Other single item,3
144351170376,East Anglia,1/29/2016,Watercourse / Bank,Tyres,Other single item,4
44371065654,Wessex,2/1/2016,Footpath / Bridleway,Tyres,Small van load,3
44351065553,Wessex,2/3/2016,Footpath / Bridleway,Tyres,Small van load,3
12138236502,"Devon, Cornwall and the Isles of Scilly",2/9/2016,Agricultural,Other house hold waste,small van load,3
554420968379,Hertfordshire and North London,2/10/2016,Commercial / Industrial,Construction/demolition/excavation,Transit van load,3
154411072972,Solent and South Downs,2/10/2016,Watercourse / Bank,White goods,Other single item,4
23140073813,West Midlands,2/15/2016,Commercial / Industrial,Construction/demolition/excavation,Tipper lorry load,4
254230964210,Kent South London and East Sussex,2/16/2016,Commercial / Industrial,Other commercial waste,Significant/multiple loads,3
454230964309,Kent South London and East Sussex,2/16/2016,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
11140938701,Cumbria and Lancashire,2/16/2016,Commercial / Industrial,Tyres,Transit van load,3
15140936405,Greater Manchester Merseyside and Cheshire,2/16/2016,Commercial / Industrial,White goods,Tipper lorry load,3
554231465972,Cumbria and Lancashire,2/16/2016,Highway,Asbestos,Car boot load or less,3
54361466420,Lincolnshire and Northamptonshire,2/17/2016,Commercial / Industrial,White goods,Significant/multiple loads,3
17141157807,Kent South London and East Sussex,2/17/2016,Watercourse / Bank,Construction/demolition/excavation,Small van load,4
23141325613,West Midlands,2/23/2016,Watercourse / Bank,Vehicle parts,Other single item,4
454080969736,West Midlands,2/24/2016,Commercial / Industrial,Tyres,Significant/multiple loads,3
23140523713,West Midlands,2/25/2016,Commercial / Industrial,"Chemical drums, oil or fuel",Small van load,3
21141295911,Thames,2/25/2016,Private - Residential,Construction/demolition/excavation,Significant/multiple loads,3
23140605613,West Midlands,3/1/2016,Commercial / Industrial,Other commercial waste,Significant/multiple loads,4
18140840108,Lincolnshire and Northamptonshire,3/1/2016,Footpath / Bridleway,Asbestos,Small van load,3
13140380803,East Anglia,3/4/2016,Private - Residential,"Chemical drums, oil or fuel",Single black bag,4
17140832707,Kent South London and East Sussex,3/7/2016,Commercial / Industrial,Construction/demolition/excavation,Significant/multiple loads,3
21141362811,Thames,3/7/2016,Watercourse / Bank,Other (unidentified),Single black bag,3
254011470200,Wessex,3/9/2016,Other (Unidentified),White goods,Other single item,3
16141715006,Hertfordshire and North London,3/10/2016,Commercial / Industrial,Black bags - commercial,Significant/multiple loads,3
24141453514,Yorkshire,3/14/2016,Council Land,Tyres,Tipper lorry load,3
524470966661,Kent South London and East Sussex,3/14/2016,Private - Residential,Construction/demolition/excavation,Significant/multiple loads,3
21141170611,Thames,3/15/2016,Commercial / Industrial,White goods,Tipper lorry load,3
22141223112,Wessex,3/15/2016,Watercourse / Bank,Green,Small van load,3
17141958207,Kent South London and East Sussex,3/15/2016,Watercourse / Bank,White goods,Significant/multiple loads,3
14141516304,East Midlands,3/16/2016,Private - Residential,Construction/demolition/excavation,Transit van load,3
13140643903,East Anglia,3/17/2016,Agricultural,Other commercial waste,Transit van load,3
23141575413,West Midlands,3/18/2016,Commercial / Industrial,Construction/demolition/excavation,Tipper lorry load,4
18141709908,Lincolnshire and Northamptonshire,3/18/2016,Commercial / Industrial,White goods,Significant/multiple loads,3
16140193006,Hertfordshire and North London,3/21/2016,Private - Residential,Other house hold waste,Significant/multiple loads,3
24400964008,Yorkshire,3/22/2016,Watercourse / Bank,Construction/demolition/excavation,Significant/multiple loads,3
18141619808,Lincolnshire and Northamptonshire,3/22/2016,Watercourse / Bank,"Chemical drums, oil or fuel",Small van load,3
13142041303,East Anglia,3/22/2016,Watercourse / Bank,"Chemical drums, oil or fuel",Single black bag,3
23140475613,West Midlands,3/24/2016,Private - Residential,Other commercial waste,Significant/multiple loads,2
13142217103,East Anglia,3/29/2016,Watercourse / Bank,"Chemical drums, oil or fuel",Other single item,3
21142237111,Thames,3/29/2016,Watercourse / Bank,"Chemical drums, oil or fuel",Other single item,3
20142184110,Solent and South Downs,3/31/2016,Watercourse / Bank,Other (unidentified),Small van load,3
11142038601,Cumbria and Lancashire,3/31/2016,Commercial / Industrial,Other electrical,Tipper lorry load,3
24142150614,Yorkshire,4/4/2016,Other (Unidentified),Other (unidentified),Car boot load or less,4
14142380704,East Midlands,4/4/2016,Watercourse / Bank,"Chemical drums, oil or fuel",Small van load,3
23142434913,West Midlands,4/4/2016,Footpath / Bridleway,Asbestos,Small van load,4
20142445010,Solent and South Downs,4/6/2016,Footpath / Bridleway,Other (unidentified),Other single item,4
23142199713,West Midlands,4/7/2016,Other (Unidentified),Other (unidentified),Tipper lorry load,4
23142530013,West Midlands,4/7/2016,Commercial / Industrial,"Chemical drums, oil or fuel",Significant/multiple loads,3
14141588504,East Midlands,4/8/2016,Watercourse / Bank,Tyres,Tipper lorry load,3
23142339213,West Midlands,4/8/2016,Council Land,Asbestos,Transit van load,4
23141989613,West Midlands,4/11/2016,Agricultural,Other house hold waste,Significant/multiple loads,3
18141912008,Lincolnshire and Northamptonshire,4/11/2016,Private - Residential,Construction/demolition/excavation,Significant/multiple loads,3
23140793313,West Midlands,4/11/2016,Agricultural,Other house hold waste,Significant/multiple loads,3
16141705706,Hertfordshire and North London,4/14/2016,Back Alleyway,Black bags - commercial,Car boot load or less,4
